Token,Frequency
5108e86909161e78d03ddccfd9d52d67,1
6Lp4nd9,1
5HY5mt1,1
2nK6271,1
3lC60CJ,1
1uC49IO5,1
4GT227dh,1
Chrome.exe Chrome.exe ENABLE,1
29d61a20d22d760e04caa0c990ab3a6d,1
"814c082502cf2b7b3b8f365ff465f6cf.exe.dll,DllMain",1
43QLpcrpb5Bb4ZN9KKKO5a,1
17d19864111910feae6c7e1da561ea58,1
71a0d7484cbbea559025a676357cc4bd,1
1f79fd897d765d2c851ac96754b91ca0,1
4a678c3e10a934e32a765833073b6d95,1
E Non,1
c md 717286,1
c copy Colleges.mp4 Colleges.mp4.bat & Colleges.mp4.bat,1
V bread Context,1
79CniZYMmxI,1
c30f.tmp.NtOpenFile,1
63961b7146477673240e1600dbd84ce3.exe 63961b7146477673240e1600dbd84ce3.exe ENABLE,1
"1ebd4dfbc6ed54eda4e0c4d057e02004.exe.dll,DllMain",1
9dedf88654d644e279ed87e739a63e3d,1
wmic  process where name  like %vmware% call terminate,1
wmic  process where name  like %tnslsnr% call terminate,1
wmic  process where name  like %mysqld% call terminate,1
c wmic process where name  like %virtualbox% call terminate,1
wmic  process where name  like %oracle% call terminate,1
wmic  process where name  like %sqlservr% call terminate,1
c wmic process where name  like %mysqld% call terminate,1
c wmic process where name  like %vmware% call terminate,1
wmic  process where name  like %virtualbox% call terminate,1
c wmic process where name  like %tnslsnr% call terminate,1
wmic  process where name  like %vbox% call terminate,1
c wmic process where name  like %vmwp% call terminate,1
c wmic process where name  like %sqlservr% call terminate,1
c wmic process where name  like %vbox% call terminate,1
wmic  process where name  like %omtsreco% call terminate,1
wmic  process where name  like %vmwp% call terminate,1
c wmic process where name  like %omtsreco% call terminate,1
c wmic process where name  like %oracle% call terminate,1
2a3d403acac6927a01c28bf747b560dc,1
57b9f88a3c286a91ee96105790f54520,1
9ab507b45b44d7162b4e247109125c7c,1
6rB5Pv3,1
4Nd135pX,1
1kA25ZX4,1
98a85521cc46293f8d275ab5ee446a24,1
Spynet -Name SubmitSamplesConsent -Value 2,1
Spynet -Name SpyNetReporting -Value 0,1
System -Name ConsentPromptBehaviorAdmin -Value 0,1
wininet.dll.FtpOpenFileA,1
wininet.dll.InternetWriteFile,1
9f8931b4827d7f8bdb88040df1265687,1
56676190b7da6733412563bdffa36136,1
Server.exe Server.exe ENABLE,1
9c80923cd2dc2872a988fbd9bf92c187,1
512f77ed5f49d37bc0419a77d0678f52,1
2c2e5d1660cc0bbf8e72897e32b6b4d2,1
55d758cec0a324d4f99b24a4da691770,1
new Purchase Order,1
0e158360b4080185d538e209bec48fb7,1
6837b509accf6469569d7e03690be772,1
299b7e85f37e989da87771d8ab5dc448,1
9aa022645ab808f514efa78cc4669dfc,1
3553dc3aea03a530bc76300d54e656f3,1
6c1932c81baab39b1f2828fcce3738c7,1
5febad2c52fbef21e7ef613a44dfc9ed,1
3df0fa62bbf2a9d047a309677fe9f8a2,1
51bf81460f25b190462f8c5ef957abd2,1
66080813e2b44b6981a8c69b92a639d7,1
2b3dccfac332456c7da2a9e5309c2f63,1
6cc62e7b48159e151d4776b14392a180,1
echo-userassist,1
518455a414634eb07647ac941b7de1a9,1
36aaf8b298f60aa051a9043d4fa2b1f9,1
C POWERSHELL,1
5495e7be30598d8b9988c7261086dc53,1
7ad108058ca9e10d62297d6e41203b9b,1
netsh  wlan show profile name=Loaded into process 2624 key=clear,1
1bfce7e61c86fea0c9d4d1e5df8e7191,1
netsh  wlan show profile name=Loaded into process 2116 key=clear,1
netsh  wlan show profile name=Loaded into process 2376 key=clear,1
2e35725a3322bd5c552487e1afc96444,1
12dac3516cbdc7e8e904d4e35abb74e8,1
4812d595e1852bfa9d1d61d39818f98c,1
4fbc8832e84792eebc44a73c00c22652,1
5682d69be1173f2415c4df09a8adaf8e,1
CLibraryUpdater.exe CLibraryUpdater.exe ENABLE,1
2764a392c292c7b6b1f9cba073e8562c,1
K bat,1
K exe,1
280533759c38dfa3cfc9081960140b6e,1
9663234b-35b6-4852-b0bb-5086e57c67c0,1
040c60e71a90a031df97661ebc07e21c,1
3a16408ac4f58c302229feecd95b4840,1
Tor.exe Tor.exe ENABLE,1
im dwm,1
Java Update Schedule (64 bit),1
51bb099eda8aab5520dad753181b39ff,1
9f9b4eb7d9c3aa8ba5fdaf7dec427034.exe 9f9b4eb7d9c3aa8ba5fdaf7dec427034.exe ENABLE,1
52fc9bc230089020bc41a1d775412eba,1
#320,1
#324,1
#411,1
#410,1
#413,1
#236,1
#323,1
#102,1
#328,1
#334,1
#332,1
#338,1
#339,1
#104,1
7f15b24f1f3baf4027c123550663e1d4,1
89bdb5cccfb9241f1d2988b068cdcd93,1
t 00,1
set {current} safeboot minimal,1
801ee02bff42c1bbd51380a5b84e155e.exe 801ee02bff42c1bbd51380a5b84e155e.exe ENABLE,1
25e26d711ef5da58db29c9371e91e673,1
k move Puts.wbk Puts.wbk.cmd & Puts.wbk.cmd & exit,1
Y Crime.wbk *.*,1
V Extended Layout,1
9e42ca593e6442028663673299e1a65a,1
3a86ea742237ee92a14717f99dc50109,1
420eecfa662334df37cc1f3fd65bc702,1
4cba4cb9539b9af15583185400b904aa,1
1689221466add14ce1891d63ef30ae24,1
3e8f7839b40490bb967f3dc0eaf7fc7f,1
4dd75abfd19e71e00638f0a108a6842e,1
9e32e24154b154e7ec41ce06f967f16a,1
6ca277b5cb5112aaff0b5fd13508ace3,1
4be08a9a48a17a950c828efe17c82775,1
c cmd < Participant,1
76fab21857,1
2jq4GUd2,1
495928a11e3e42017f244bfabe5b9ddf,1
01a2cbe7c2cbf5eeaee438432b1448cb,1
powershell.exe -ExecutionPolicy Bypass Add-MpPreference -ExclusionProcess 1.exe,1
min 1,1
min 2,1
00768b7c96983aa8838f6ae019099dd1,1
54d65eba2470f7b4faf85a5193f0709f,1
tmp1C75.tmp.bat,1
RCE dll,1
14bcc69dde1b0fac18b219728164131b,1
2f4536521c269ee6065eb46ae362260e,1
848e9d2d612346cca93edb288f92945a,1
"70bd90737c732bb34e6a5948051798dd.exe.dll,DllMain",1
1a908e746f678628ea7141dcdb47b7c4,1
2f3ed83a65159063ed34d400683121ad,1
928208ec6578f7a6856723dd1172b823,1
bypass social club,1
VisualCppRedist_AIO_x86_x64 (2),1
Visual C++ 2022 Redistributable,1
16c973a717ef8b3fbab6,1
v Desktop,1
06bf5d475c88e8aa8ca9fcf6081f7e64,1
Yandex Google,1
Klipper.exe Klipper.exe,1
cmd.exe cmd.exe,1
376038f8155d8212438724ab8df1a3ba,1
1V43U6,1
3f49P,1
2j5272,1
"db6ba72ee1ee3c310d912e175be5b8c0.exe.dll,DllMain",1
16d7c7a632447e6ee4928ec5c2eef39b,1
9404d0c0734d0e06e3d3b3a5f27a76f2,1
7d374ee7cfd60e2fe5a69bcb3ed6e065,1
0e8d6850f5ea87b7ed51d064e93197a7,1
3404d96f8830159890a107c347703bfb,1
90741d7c8a6e2ea89a15577981f8fb9d,1
ce7a4318a797b58ff4b003bdf6d92367.exe ce7a4318a797b58ff4b003bdf6d92367.exe ENABLE,1
7e3df15469944b2490acc65e09cc2ecb,1
chroom.exe chroom.exe ENABLE,1
Extreme Injector Neo,1
db02cd2dd284b6a623b8793a60b9df2c.exe db02cd2dd284b6a623b8793a60b9df2c.exe ENABLE,1
4dc435b1bcabb550f82e5d3e9fe8dabe,1
2e553aab3fb12d33af1a26c8621dc741,1
2PE3PxTrTQg,1
2zt0n56bOhbwB2KzszETxYw2RuinHOyyQibCEaRYFawepzaxIU2GKt,1
secur32.dll.LsaConnectUntrusted,1
mpr.dll.WNetAddConnection2W,1
wininet.dll.HttpSendRequestA,1
7edc2f75fee7045d3355ffbc2393cb04,1
5db3951a261df2ee1bbc76b60901067a,1
618207bc8f77b1dbc5d34ac7d7e6b652,1
642482de1251438d1319e8d13451a84e,1
5243e891f289a387c80bb403442718f8,1
f43361a18e90fa38b3c7861ee1f5f6e3.exe f43361a18e90fa38b3c7861ee1f5f6e3.exe ENABLE,1
386a2c708b25890c710021b5fb620a5c,1
c timeout 10 & exit,1
2332bbac4e4f00e3f3b75db180603b67,1
34f057c3e91aaf2f95fb61c858fc62fb,1
9541e3ec9d939db22784d757a15eee5a,1
check-KB2992611,1
wmic  qfe get hotfixid,1
FindStr  KB2992611,1
347e3fb08ccd42fbaf6272ed59017dfa,1
39423df8b3e1b1b5ef10719b7847059a,1
5e5aebc2dc293d4d1f16256d66389262.exe 5e5aebc2dc293d4d1f16256d66389262.exe ENABLE,1
9557ace369ffcd2bd9d83fb4c30b329d,1
9fb182f9f09489e54fc6fa64b8ebccc7,1
68309f4b6670d8a7f823d5a30dcb579a,1
692eb1cc62ef1e302c7aa202668d6a9f,1
1a74b24bea42c10ebb427ab5a2978a13,1
4748ad35235d6e2a9d50b3be6181e63f,1
5e298749b22a32a59cdc1378af5f0ff7,1
9SKwGzUyrs,1
9d11177b02c8e00c9c2b91bcf352c263,1
133946576623d9d62a726901ed9f2406,1
3725b79611a32e53eca2d638ca306be9,1
8003bd8c7a1ca5a5450f98e7f57bfead,1
7460ce1fa0d59a77ff54a3842b98e096,1
0b5d537776ab9d7c076e1bbff99597e2.exe 0b5d537776ab9d7c076e1bbff99597e2.exe ENABLE,1
7b4a2fca50428b25133326e629b17cdf,1
07a98778c488ac518f6fc23b297c3ccb,1
928bed09139d07089317f873eb589900,1
0t45aUHdp2SIVPrKJ0,1
x43a VisualHacking,1
VisualHacking_1.2.5.exe,1
IM AvastUI,1
VisualHacking_1.2.5.sfx.exe  -p3454353,1
7e1b86c8ef4e02309533a21061ccd3e9,1
ping  127.0.0.1 -n 4,1
50d5785560f479c51e237747e095faea,1
66e2a95c869fca3e084e19cabbdd38d8,1
86e40acd5bc99fe5ad20df5a528f19e6,1
380c2ffe213e4c629f5c13d5cb828511,1
38c80fbcfd16fd7474c6f73bee5dc588,1
7280fdddf127c210854449b7e4b63065,1
183de7b591a9f489e2a31bc2398f8f4c,1
mo 60},1
Users -FORCE,1
powershell  Add-MpPreference -ExclusionPath C: -FORCE,1
69bfa097de46ff53ea5128488a78fde8,1
447fb87f6ac1536e123d6fb70320c11b,1
2b76e61099eb1985e84d28ef98f672d8,1
4be9081db7dfdccddaae91d3899f1747,1
7b8a767e8676164f90e2f6e30f42838c,1
360429898a229201ef627547d65c49ec.exe 360429898a229201ef627547d65c49ec.exe ENABLE,1
"7cdfe3ef66f61ec001384275c7894c77.ape.dll,DllMain",1
03dae72f9bc1c9fa3847955f85eb3ae8,1
64bca579aa9ab22a56a1f16931709dfc,1
CheatsDup.exe CheatsDup.exe ENABLE,1
$77exlusion,1
-Force,1
$77666,1
$77startup,1
$77taskkill,1
ping  127.0.0.1 -n 26,1
6a44e089a2fbf3e4d3efbd97bfcff4d6,1
48b1fbdbf642b3cd8b40f61a4c2aaf12,1
netsh  wlan show profile name=Loaded into process 1988 key=clear,1
C chcp 65001 && netsh wlan show profile | findstr All,1
netsh  wlan show profile name=Loaded into process 3968 key=clear,1
netsh  wlan show profile name=Loaded into process 2304 key=clear,1
b4b5616133c70ef3c9d3ca861be12a83.exe b4b5616133c70ef3c9d3ca861be12a83.exe ENABLE,1
7edfb71367faf372e15d3b1ffcaad36f,1
7962f40884260383faddac468e7bd6c9,1
discord.exe discord.exe ENABLE,1
7852d27cd20f41c67e2308ed92f17be3,1
199b480ffcb211fbbc0a5687e675deca,1
84bYC,1
4b2a32cc8bce3b95b4233322a09914be,1
22a0e95bd1f1bbed2183067f316c263f,1
2yEbYZkOqu,1
9qIdCUJVud,1
64f3720fd7066a939f27248476fadd5c,1
1c7a66684040e75a27a16fbf1a89d69c,1
"5e1dd624981bf160a5dba6118fe6fa50.exe.dll,DllMain",1
imdisk.virtual.disk.driver.exe,1
5b023db7f8f24f1e2b8d1591c63fe60c,1
415108cae08c5098e2e9fc3ddb8b8b68,1
1GnUp5,1
70e84412d2bed4108627b2d7f20c0a92,1
903702c076f253ef1aa6b9e8b993dcfc,1
0e8bd96f5ac8e7478703f1bf1ad562c8,1
28GBsRQl2u5EqD0HGx7YGeYZyO2za9W9ftVvHiRGielbEoVm,1
pid 2552,1
3c3287c7f88e7758382e39c84b242d9b,1
9fbef4b1eada81d10111ff4dc8c572b0,1
rundll32  user32,1
WScript  Informacion,1
K Taskdl,1
Bytebeat.Shingapi.tmp Tasksvc.exe,1
063f1d3f40c56228d91368c4d2a27fa0,1
sc config lanmanserver start= DISABLED 2>nul,1
sc delete lanmanserver,1
net stop mssecsvc2,1
sc delete mssecsvc2,1
net1 stop mssecsvc2,1
63322140eb397537bf4ef7e8dd1e2218,1
8a6f6866738cb3acd053b319e660f80e,1
3sskprkk,1
44d1ee1985db7158b2f1c59bc606b4e3,1
Modern Dashboard Design,1
6522def5e6879286eba9e2788c4af414,1
3u1EsD51,1
476218352541aaeca332fd4e9f16b851,1
4a4385c9a068b81af3b892c426532618,1
403c977c22bf4b63c95c541dc3b1ae93,1
650c7564ce453c54fabe7dedad28879a,1
215e35a5e23096abe7a558d732386a4a,1
3b1f22409cd297bd9bf214cfb4747ba9,1
16e121a2f393770b23fa641c6d35aa85,1
0feddd3e53ae587afe715f9f693e90e0,1
923506def23672cee3a568eb7bea505b,1
75513a28c00db91d12b80372c1b765a4,1
12952a83f414c0d54593b82f637e6c6c,1
362c490ab147a4c3429ad64ed0d2527e,1
3cebed13aac394c73e95bc6997cec5fd,1
78ba830984024d7c499fbfcc880208af,1
"a740310b0f1c5fb5d9c464fb0177e1b9.exe.dll,DllMain",1
IEGCAAKFBAEG & exit,1
powershell ping 127.0.0.1; del 0531b6dac188c04e9b6fa2297611dd2d.31646,1
PING.EXE 127.0.0.1,1
SC MINUTE,1
3b819fc76764c14755cbeae693e3385f,1
6e3d9836c42fe7aa52190442ed74b627,1
21ab6713fe5ddae09d8806e215a106ee,1
2V8Lj2qJ8e2G,1
kernel32.dll.OpenFileMappingW,1
oleaut32.dll.OleCreatePropertyFrameIndirect,1
6c67164630cec228bdf31343506ba50a,1
4d0a0380a20376225b6a77bf9625d4e2,1
45e6be6d105418f276df33a98f58b999,1
30d1fece7c468f3b552c416c219814d0,1
wininttint.exe wininttint.exe ENABLE,1
47427afc4dc88295402d62f962c204f2,1
30440fabf76869f43c37e7491f89d485,1
9b2f0516b6c3a24fa526c5996100abd9,1
im MSASCui,1
net1  stop security center,1
RUNDLL32  USER32,1
net1  stop WinDefend,1
net  stop security center,1
netsh  firewall set opmode mode-disable,1
net  stop WinDefend,1
net  stop sharedaccess,1
net1  stop sharedaccess,1
"2ef8b5d090482bbbb3db3801d8814fdf.exe.dll,DllMain",1
9f1884daf38acf82de2671e43ed8cc18,1
5fa6599cbcc0b817f48b6ce673f50669,1
9582df5ca27850f5712714a365c0bf1f,1
0.vbs 0.vbs ENABLE,1
7f70df0bc27d1dd010d88a6179261480,1
blood-strike,1
8628b051163ce98c88ddbd725176aee5,1
a 0x9D^235,1
a 0xD2^235,1
a 0xC7^235,1
a 0xDE^235,1
a 0xDF^235,1
a 0x82^235,1
a 0x99^235,1
a 0xDA^235,1
a 0xD9^235,1
a 0xCB^235,1
a 0x8E^235,1
a 0x8F^235,1
a 0xDB^235,1
a 0x9C^235,1
a 0xB4^235,1
a 0x80^235,1
a 0x92^235,1
a 0xC2^235,1
a 0x84^235,1
a 0x88^235,1
a 0xC3^235,1
a 0xAE^235,1
a 0x9F^235,1
a 0xB9^235,1
a 0xD1^235,1
a 0x8A^235,1
a 0xC5^235,1
a 0x98^235,1
a 0xD8^235,1
a 0xBB^235,1
a 0x86^235,1
a 0x85^235,1
a 0x93^235,1
a 0xBD^235,1
a 0xD3^235,1
a 0x9E^235,1
a 0xBC^235,1
a 0x87^235,1
a 0xA8^235,1
a 0xAA^235,1
a 0xC6^235,1
a 0xA5^235,1
a 0x9B^235,1
a 0xA0^235,1
a 0xA7^235,1
a 0xDD^235,1
a 0xDC^235,1
a 0x83^235,1
a 0xB8^235,1
4a636175e3fc9ec0d99acea5d01dde25,1
0223b6c9eea7a68711243c5653b69362,1
9babf24c4e62deafd1126d5886c43e38,1
9nWwEs2kVdrhiGa3r7daUZjZuI,1
49ddccd8f0d202106859bfb65781af94,1
systemwinW32.exe systemwinW32.exe ENABLE,1
98d5f87d4dba3b8c0fc204c225a56755,1
8f80553b852ebac5e330ecad5d8695b9,1
19fa46bd23f4c63d1314db224a91cec5,1
190ab5b07ca61a525300b9858980057f,1
notepad.exe notepad.exe ENABLE,1
06df85a8a83c67a0af1aa805c052b5d5,1
13cfc59ba6472283a2e70a66cab16d62,1
im 13cfc59ba6472283a2e70a66cab16d62,1
Discord.exe Discord.exe ENABLE,1
C echo ^execute=^KasperskyScan^.exe >>autorun.inf,1
C echo ^open^=KasperskyScan^.exe >>autorun.inf,1
quiet && wmic shadowcopy delete,1
C echo ^[autorun^] >autorun,1
3b6372c115c738ccaef46f577af9e6b0,1
04283681cecb6f7bcc811e72dc92906b,1
0d4d87c6fbb2acff65db07cdb9b08042,1
990be9a9a04fa8601098ace7307599d1,1
5020acff2e67d2da48fc86ddb5c1ed6c,1
43db738b25e9d331fa9cb21e71bb777b,1
5a3150540f61650a31aa6d570803f1cc,1
53302a32955281390fa5250fdcb1655a,1
#by-unknown,1
4c3cc557f912563826c4b69ad20f7e30,1
0517dd44feab726847921912c34ad7eb,1
4e2197ae2f33ee8e774b77a7ef50153b,1
9999047d0d682e349bc8d997f18a4de1,1
47b3f96d90a6e858cb385ef1092e318f,1
4642873079fd3591334d0f2e2ef1e4dd,1
my super skibidy sigma loader,1
Windows Start,1
im Taskmgr,1
252773cb6f35465d90d7cf0ffa6dc64a,1
XenoSetup(1),1
2jfojLJgRy,1
34c3b460273511bdc94bd26505d12f8d,1
07a33233a2e40b2d06dc2034cc5ee3ff,1
5193d4ec20400e78c517d6b7a223510f,1
767af55e0d52dc7ff27d5504d2d6b4e7,1
6TX15s3o3dST68MJkEj7bgGxU9zvefDuKPar5COcqC66esPk,1
search.json.exe,1
11ecc72084b9b9e6bf4624f28980928e,1
powershell.exe -ExecutionPolicy Bypass Add-MpPreference -ExclusionProcess 0.dll,1
60e7d08a06f71ddf47acece107180316,1
1ad8d47ffd044584037bc5ee268bc955,1
"256321e6e8f903362509672e1da59e8a.exe.dll,DllMain",1
kqkjz214.u02.exe,1
6accc340d7cf34062a5e31b0914096a1,1
2e57c4c39ed8b9594bd016afc94c18df,1
valoallhackv1.5.exe valoallhackv1.5.exe ENABLE,1
valoallhackv1.5.exe,1
48edce5727f1a94d8aeca623490a6506,1
2Kv2944,1
5XZ6hz9,1
4542dc08866150e6192f12cded24d327,1
4fPnm091LuTs0nllRLY8Hus,1
57de6700de668c0e669726433c33a6c2,1
DDoS Em !,1
5d72494703d4b369e191d2e47a411862,1
5034e006bd7734fbfa625c53423137d9,1
716748e31d1137288a062d5d31736e0b,1
7799664a0b0dc01e0334d0fb23c0cab6,1
27afe1d15a3eb227315fc3b162c52dc5,1
1724b2fc8352ef6d90be3fa7ed5dde65,1
606cba6d8c1c26221395730ace17d83e,1
powershell.exe Add-MpPreference -ExclusionExtension .exe,1
67aqFI16brSHWcW19SP,1
1na99ei2,1
2xf0520,1
3YJ44bs,1
Virus.exe Virus.exe ENABLE,1
7z.exe  e file.zip -p2092234702066417206614013400 -oextracted,1
attrib  +H IdXsAYepwNyor9pXCym14F9nUPSKx8f,1
5398a0eb56ae8a0d4786a1c4a9139e3f,1
33f73998-0d2c-4132-968d-e071a28360b9,1
4508848de31ada96e07bd674597624ee,1
edc3e1e1389d1b7e84fd9d99d97beb2d.exe edc3e1e1389d1b7e84fd9d99d97beb2d.exe ENABLE,1
11ab289dc08af32ca0e7dbf3685f9836,1
3774c99e43024360250cb8380f99e60b,1
sc  stop WaasMedicSvc,1
5d42f5f8314287e304aa17ab614fb2c0,1
im conhost,1
0cc77141cd6ee4f33f6f5b0e8fb888d5,1
4fb3a84b47e4d7b40949bddc20cc083f,1
f 3704a32a9d914485255d520b36150f3c,1
"0e01c02b80aef4189d2d3d0159f37e6c.exe.dll,DllMain",1
v netsvcs,1
a78c97604ae536914b8467ebc8a9e09d.sample.dll,1
08aa64cc3299717b50ef822041f3ce69,1
8d609b3d220080ee33111ffbd6c3295c,1
81a97a2a79686e0bac181094b0b0c9bd,1
2gV3uS4g,1
2a534887fae92e736f55fc83ad395095,1
7b5d7d14abc3917d357cf102e1d4b40c,1
powershell.exe Test-NetConnection -TraceRoute twitter.com,1
7bdfed7dfd9c9f806c71313d192fd702,1
0c6741fdd239716806975a75fa8fd27b,1
58a022b1bee31cf9b6c3809d8f1f48ed,1
2GZP2PZR,1
047e4c47fbdd7c72076001d42a6f0f2d,1
53b73c98ac504b3866c6096cedc9634c,1
6179dc2848651be1d78411becf8d8466,1
67107b6c7fdd7d83bb1d80669cd2dcf2,1
9CB92BF8RVYLuhGsXnJwcoL,1
81dfd5083910ebcb63654aad54404fcc,1
0ac39a0041c1c1b8297ba2b5da100ded,1
7628dc0f7d1a7a730ce711726a2bc281,1
66752ec4917ea744a5a8348a2ae9963f,1
system.exe.exe,1
98004169a5b55ed3b5cd532ad48fbc19,1
?_Xlen@std@@YAXXZ,1
7d7152a924c10618e535a76845f5fc20,1
1145531be728723b4dba16ec06f2a3ba,1
5bac801df14448aca06aa42babaec0d2,1
1d580c496c24ee5826514c6c5b760888,1
9a10fb5553007c879a775d4fa67d13e9,1
30614a0774501182f53a75c3d4e799d4,1
0058315c463f0dbdf8df66e1742306e7,1
6bb738e899d33b3828b0e30948c98c3a,1
295b8e5912b6af947cab82b12e1ceff5,1
2395de3e8d2b642bb2d4cdf99024c625,1
5938522fe245deb5b3903048951efe7b,1
4b2a71461d335a5693ca5b4e48ba63b7,1
657692fdd8f9bf6f0937b190b4f78f56,1
25f0a7d422c4296407272a1e39eb1810,1
340c6c2e30f62dbf351b2e7abf06444e,1
"ca9bba2105da230d57127435c138a705.exe.dll,DllMain",1
ping  127.0.0.1 -n 20,1
2692851432deae5a6f38050b36d9bd93,1
22263160b88c29d874aa96e685c9b39d.exe 22263160b88c29d874aa96e685c9b39d.exe ENABLE,1
38586fe5e751e2d95a8f035584631128,1
6867de4e4ffb1a01eb12057b99f9f1bb.exe 6867de4e4ffb1a01eb12057b99f9f1bb.exe ENABLE,1
4acf5d11db8eed83a7eb84112d122dc3,1
1zu9dW,1
2159b60ef485a94b2308614235bea942,1
6399614967c599341049bb5b6b59fbb0,1
64f89dc48557af85240992889612c5a7,1
6d86d3de55383123a6b9777022a96e2e,1
896cc9ab5db89c4732d62785e055c257,1
078e2e2b2a6672a7a4fb9a81c70f72b1,1
5f95f031b3b0c5911ae65afef81da12f,1
68f8dcb4fd9035c96095f14a54883005,1
92227c00e6e401aeac3ebdd3069e46a1,1
"7ec67bfc56dd1a9ead262e3ffc1310c0.exe.dll,DllMain",1
96d29c099c4967669579c43efb984868,1
33d9eb4fefbb70faffa2a29733f3ba95,1
286ee8c25d9670f67fe15d09d3edcb4c,1
2213904e36be85033472340557b45da4,1
534ed7de0e49bab830404e6bb8d5b514,1
ikmerro nano,1
snake logger,1
7128f915864957ecfe74a9a84476fc16.exe 7128f915864957ecfe74a9a84476fc16.exe ENABLE,1
Chrome 5,1
6d98ca024d54820b6c60b060e2ac0084,1
"3c86dfaf0437fd5698d075fa3edd43ea.exe.dll,DllMain",1
._cache_ddadd6be5ba31e17a0e5e6cff1157501.exe,1
67a2b7ba2bd2167eda1672325e2861b8,1
87a8faf6386b49d8dc4aa96546c5d74c,1
NC Auth Tool V5.8.exe,1
8fC0Ni2EHYCV,1
44ff29660d6ab1d05bc9692e01246e51,1
9dbfe53de494b653c5505ebd35c603d7,1
9b969e1cf6c62f395c1ac09c78cb6ba0,1
16840ee9ec005cba134214de5137bdaf,1
4f21624b608799abbbb80ffdd4cbc762,1
5b6ba266f5fb63fc64c19163dc299960,1
9d6a85e94aeb75c469107fc48790953e,1
36c89ad4b03dec88b15aec1b92fe9d63,1
162f4f895c02be7729cffc34d1893468,1
22ae203aa63881e3a94f22b4c4a022e1,1
788a70c7822f1a43601a9a88bd874068,1
0dfc1dca80b9e417cc955da1d60916b1,1
661b1e072dcbbb3d24809e310df02a43,1
"6fda5ce465c862fb2a79890a8bbc4c44.exe.dll,DllMain",1
13a3f5c3d713371a0f1fa94fe5c2e502,1
??_V@YAXPEAX@Z,1
??1type_info@@UEAA@XZ,1
??3@YAXPEAX@Z,1
?terminate@@YAXXZ,1
"afe379bf911cee06e932afdd6167b5c6.exe.dll,DllMain",1
Kawpow new,1
kx new,1
xmr new,1
9d73f87333d84b3ae92c0d880fed8ece,1
"e90055fb03505a6058f372d74f8a97bf.exe.dll,DllMain",1
871e3584853f3daf3c92e1afa3a92b2b,1
498233cbb4c7f4c49a94ae3cb4208dfa,1
c timeout 10,1
74b61a94493f54ddac1be599e556f724,1
0ccc545374f5dd20fca62483996782ad,1
16168597851ea15eab65ee09f9577bbf,1
2f725546b0c5272e255593ca5abdbc28,1
setup.upx.exe,1
ping  1.1.1.1 -n 1 -w 3000,1
14Ahe7,1
9b298bca8e96c4d6ce28dbee89ad647b,1
2be723dbadb8839e1664bf8a4e315e69,1
91c8f93eda365b1e4ea95ff4568d9be8,1
6d0843a708cba3a83380cb29a37fae4c,1
518130118260ce66d3d7b690094547c4,1
"3f21c21474e74fe579a83b41f0d60d1a.exe.dll,DllMain",1
70108ddc548f6da7b023765021319f5e,1
79c73d1d4fc5a9403e961b81d0d2e6df,1
c 6287fca5aac06_4bc90be,1
c 6287fca6881b8_c97d4bee,1
c 6287fca80b05f_0cff899,1
6287fca5aac06_4bc90be,1
c 6287fcc32c105_b649218,1
6287fcc32c105_b649218,1
6287fca43f9b1_929c40b46,1
c 6287fca2a9015_8ea56e418,1
c 6287fcc22075a_3f2524f38,1
c 6287fcabef246_37f3c9,1
6287fcab2507d_e023b87,1
6287fca378a73_448e1937b4,1
6287fca2a9015_8ea56e418,1
c 6287fcab2507d_e023b87,1
6287fca6881b8_c97d4bee,1
6287fcabef246_37f3c9,1
6287fcc22075a_3f2524f38,1
6287fca80b05f_0cff899,1
c 6287fca378a73_448e1937b4,1
c 6287fca43f9b1_929c40b46,1
UID=1405,1
862d6ea7f87aa11e500ca6bd3272cfd7,1
88d25910e82456bd0a8b5f796d758648,1
41b262fb9ec8cbadda2cd1aa7778ebf5,1
V spam Oz,1
k move Accessed.mil Accessed.mil.cmd & Accessed.mil.cmd & exit,1
Y Inkjet.mil *.*,1
4fcca73af0d0001b0803075c920a2089,1
4756ms,1
Ps4.exe Ps4.exe ENABLE,1
155dbdc787a78f43016172b00934f1d6,1
net1 stop swprv,1
net1 stop srservice,1
net1 stop vss,1
9d96fdd0e5f9c57fe9bc77fe67917fef,1
05060c1bb5d3889cf26522c20eb13a24,1
59ac4eaa2ad398f66911d632f5154eb9,1
62c6df8c55d749264cbb14028164812e,1
872b6c10bdbcc66c5db79f83ce041a09,1
0e6921192c33ca33ed9bf89c79758cbc,1
Windows Host Service,1
41f1e94cbe5b9abdfbd292a3ce14492a,1
4b0df4d57b1b8b1fbd43e3b00549d2db,1
2fc695482103a75a8c4b9d1e01a50356,1
26232f5dcbba6721e9723c4ea4db8e95,1
G5@2O:,1
6c726f2efdf7da5573a47e41ad38ea53,1
7cbec1687dc090aa83ba18d40ffac5ac,1
755dce6980f36eea5b655bbab65b5c07,1
7daeee4147416e5026207dc3d242d115,1
04b00097ddf4ca6c09ca271ffbb062a5,1
40bb0afcc3f12dcd8545f9b3d997bee9,1
763ebdfc678e2f6a044b993d7fc34ac1.exe 763ebdfc678e2f6a044b993d7fc34ac1.exe ENABLE,1
c md 694225,1
c copy Paperback.xlsm Paperback.xlsm.bat & Paperback.xlsm.bat,1
V nominated Va,1
